Date,Country,City,Specification,count,min,max,median,varience,Outcome
31-12-2018,IN,Kolkata,co,96,2.2,36.5,7.7,774.62,1
01-01-2019,IN,Kolkata,co,96,2.2,32.8,8.2,668.59,1
02-01-2019,IN,Kolkata,co,95,0.1,30.9,7.8,603.5,1
03-01-2019,IN,Kolkata,co,96,1.8,51.3,11,1287.58,1
04-01-2019,IN,Kolkata,co,96,1.4,46.8,8.1,1149.47,1
05-01-2019,IN,Kolkata,co,96,2.2,41.7,9.8,1054.42,1
06-01-2019,IN,Kolkata,co,96,2.2,44,6.3,792.02,1
07-01-2019,IN,Kolkata,co,96,0.2,45.2,5.7,1306.28,1
08-01-2019,IN,Kolkata,co,95,0.7,46,5.9,1115.64,1
09-01-2019,IN,Kolkata,co,95,0.2,48.3,6.8,1137.41,1
10-01-2019,IN,Kolkata,co,96,2.2,41.4,8.6,1129.96,1
11-01-2019,IN,Kolkata,co,96,1.6,58.7,9.2,1823.2,1
12-01-2019,IN,Kolkata,co,96,2,55.9,8.4,1499.78,1
13-01-2019,IN,Kolkata,co,96,0.3,53.3,5.9,1353.6,1
14-01-2019,IN,Kolkata,co,95,1.8,59.9,12.1,1996.84,1
15-01-2019,IN,Kolkata,co,89,1.2,48.6,8.5,1071.74,1
16-01-2019,IN,Kolkata,co,82,1.3,86.1,8.1,1738.99,1
17-01-2019,IN,Kolkata,co,96,1.2,53.7,10,1359.18,1
18-01-2019,IN,Kolkata,co,96,1.4,72.1,10.2,2242.65,1
19-01-2019,IN,Kolkata,co,96,0.5,65.7,11.6,2230.66,1
20-01-2019,IN,Kolkata,co,96,1.6,41.3,12,835.85,1
21-01-2019,IN,Kolkata,co,96,2.2,63.4,16.5,2165.88,1
22-01-2019,IN,Kolkata,co,96,1.9,68.4,18.2,2868.33,1
23-01-2019,IN,Kolkata,co,90,0.2,72.8,19.6,3023.22,1
24-01-2019,IN,Kolkata,co,95,0.5,34.7,12.9,733.26,1
25-01-2019,IN,Kolkata,co,96,1.9,33.9,8.7,591.73,1
26-01-2019,IN,Kolkata,co,96,0.8,18.6,6.8,137.03,1
