Date,Country,City,Specification,count,min,max,median,varience,Outcome
31-12-2018,IN,Kolkata,o3,96,0.4,46.7,8.8,1983.54,1
01-01-2019,IN,Kolkata,o3,96,0.3,45.7,2.5,2000.66,1
02-01-2019,IN,Kolkata,o3,96,0.2,47.1,2.6,1999.65,1
03-01-2019,IN,Kolkata,o3,96,0.2,67.5,2.3,3003.83,1
04-01-2019,IN,Kolkata,o3,93,0.1,59.6,4,2770.86,1
05-01-2019,IN,Kolkata,o3,96,0.1,38.9,2.7,1406.7,1
06-01-2019,IN,Kolkata,o3,96,0.1,41.4,2.9,1509.84,1
07-01-2019,IN,Kolkata,o3,96,0.1,44.2,2.3,1632.02,1
08-01-2019,IN,Kolkata,o3,96,0.8,44.9,2.5,1694.23,1
09-01-2019,IN,Kolkata,o3,96,0.8,54.6,2.5,2213.7,1
10-01-2019,IN,Kolkata,o3,96,0.9,62.3,2.9,3115.32,1
11-01-2019,IN,Kolkata,o3,96,1,54.9,5.1,2718.01,1
12-01-2019,IN,Kolkata,o3,96,1,45.2,2.7,1882.03,1
13-01-2019,IN,Kolkata,o3,96,1,49.1,2.9,2066.12,1
14-01-2019,IN,Kolkata,o3,96,1,54.6,2.4,2114.89,1
15-01-2019,IN,Kolkata,o3,96,0.4,44.9,4,1749.92,1
16-01-2019,IN,Kolkata,o3,96,0.3,54.4,7,2294.44,1
17-01-2019,IN,Kolkata,o3,96,0.1,59.6,2.6,2445.4,1
18-01-2019,IN,Kolkata,o3,96,0.1,57.5,3.8,2256.05,1
19-01-2019,IN,Kolkata,o3,96,0.1,63.5,2.3,2416.6,1
20-01-2019,IN,Kolkata,o3,96,0.1,49.3,2.3,1945.4,1
21-01-2019,IN,Kolkata,o3,96,0.1,59,2.2,2204.98,1
22-01-2019,IN,Kolkata,o3,96,0.1,69.7,2.2,2203.47,1
23-01-2019,IN,Kolkata,o3,96,0.9,49.1,2.2,1939.05,1
24-01-2019,IN,Kolkata,o3,96,0.8,56.1,2.6,1907.27,1
25-01-2019,IN,Kolkata,o3,96,0.8,52.1,3.4,1521.68,1
26-01-2019,IN,Kolkata,o3,96,0.9,48.8,7.5,1172.08,1
27-01-2019,IN,Kolkata,o3,96,1,37.2,4.5,844.89,1
28-01-2019,IN,Kolkata,o3,96,1.1,32,6.9,551.57,1
29-01-2019,IN,Kolkata,o3,96,1.3,42.5,7,1183.73,1
30-01-2019,IN,Kolkata,o3,96,1.2,43.5,5.7,1314.45,1
31-01-2019,IN,Kolkata,o3,95,0.9,46.7,4.4,1567.7,1
