Date,Country,City,Specification,count,min,max,median,varience,Outcome
01-01-2019,IN,Kolkata,no2,96,4.7,95.7,41.7,5934.25,1
02-01-2019,IN,Kolkata,no2,95,7.7,91.3,43.3,5038.25,1
03-01-2019,IN,Kolkata,no2,96,5.7,105.8,53.5,8574.75,1
04-01-2019,IN,Kolkata,no2,93,0.6,114.1,56,8522.48,1
05-01-2019,IN,Kolkata,no2,95,5.5,120.2,43.9,8248.65,1
06-01-2019,IN,Kolkata,no2,96,7.1,108.9,38.7,7137.29,1
07-01-2019,IN,Kolkata,no2,91,8.1,104.1,44.3,6929.86,1
08-01-2019,IN,Kolkata,no2,96,0.9,103.6,31.1,5126.07,1
09-01-2019,IN,Kolkata,no2,93,3.2,93.4,26.9,4719.71,1
10-01-2019,IN,Kolkata,no2,96,3.6,100.4,31.6,5038.61,1
11-01-2019,IN,Kolkata,no2,95,6.4,102.7,30.1,5225.34,1
12-01-2019,IN,Kolkata,no2,96,0.6,97.1,30.4,5494.55,1
13-01-2019,IN,Kolkata,no2,96,0.1,100.7,29.3,4651.94,1
14-01-2019,IN,Kolkata,no2,94,3.2,107.1,45.7,6727.33,1
15-01-2019,IN,Kolkata,no2,94,6.6,97.1,37.4,4874.78,1
16-01-2019,IN,Kolkata,no2,94,1.2,102.6,30.1,6262.4,1
17-01-2019,IN,Kolkata,no2,92,0.4,106.5,34,7418.94,1
18-01-2019,IN,Kolkata,no2,94,0.1,111.6,36.8,7615.73,1
19-01-2019,IN,Kolkata,no2,92,0.1,104.3,35.6,8465.82,1
20-01-2019,IN,Kolkata,no2,92,6.4,102,33,6904.83,1
21-01-2019,IN,Kolkata,no2,88,1.3,104.1,34.7,7316.57,1
22-01-2019,IN,Kolkata,no2,88,7,111.3,46.4,9185.37,1
23-01-2019,IN,Kolkata,no2,91,3.4,105.1,30.8,8617.38,1
24-01-2019,IN,Kolkata,no2,92,1.8,102.3,40.6,7075.89,1
25-01-2019,IN,Kolkata,no2,94,8.7,104.3,43.2,5249.93,1
26-01-2019,IN,Kolkata,no2,96,8.5,76.7,32.1,2761.54,1
27-01-2019,IN,Kolkata,no2,96,8.2,78.9,34.5,2899.18,1
28-01-2019,IN,Kolkata,no2,93,7.9,68.1,26.1,2677.34,1
29-01-2019,IN,Kolkata,no2,96,7.6,84.4,27.5,4172.83,1
30-01-2019,IN,Kolkata,no2,96,8,90.5,36.4,4327.33,1
31-01-2019,IN,Kolkata,no2,93,6.6,103.6,41.2,5412.92,1
01-02-2019,IN,Kolkata,no2,95,8.7,95.7,43.1,4120.17,1
02-02-2019,IN,Kolkata,no2,94,0.3,103.1,42.7,7588.39,1
03-02-2019,IN,Kolkata,no2,96,0.5,101.6,39.4,5975.97,1
04-02-2019,IN,Kolkata,no2,95,5.6,101.8,49.4,6879.29,1
05-02-2019,IN,Kolkata,no2,96,7.3,102.3,39.3,6471.94,1
06-02-2019,IN,Kolkata,no2,95,8,103.5,42.7,7820.28,1
07-02-2019,IN,Kolkata,no2,96,9.5,103.2,50.4,8343.41,1
08-02-2019,IN,Kolkata,no2,95,8.9,97.4,35.9,4898.42,1
09-02-2019,IN,Kolkata,no2,96,9.6,55.4,19.6,620.36,1
10-02-2019,IN,Kolkata,no2,96,7.3,74.5,21.5,1879.35,1
11-02-2019,IN,Kolkata,no2,93,8.6,96.2,30,3574.27,1
12-02-2019,IN,Kolkata,no2,96,8.1,101.7,38.9,6002.43,1
13-02-2019,IN,Kolkata,no2,96,8,103.3,42.5,6816.16,1
14-02-2019,IN,Kolkata,no2,95,10.7,105.6,55.9,9233.5,1
15-02-2019,IN,Kolkata,no2,95,9.6,104.2,54,7738.9,1
16-02-2019,IN,Kolkata,no2,96,13.3,100.9,35.9,5972.03,1
17-02-2019,IN,Kolkata,no2,96,13,89.4,27.6,3706.58,1
