Date,Country,City,Specie,Count,Min,Max,Medain,Varience
01-01-2020,IN,Kolkata,no2,168,9,71.1,32.2,1871.14
01-01-2020,IN,Kolkata,pm25,192,154,999,198,165145
01-01-2020,IN,Kolkata,co,168,2.1,65.9,12,1833.01
01-01-2020,IN,Kolkata,pm10,168,92,999,153,205881
01-01-2020,IN,Kolkata,o3,168,0.6,50.4,5.1,1705.21
01-01-2020,IN,Kolkata,so2,166,1.1,63,6.1,1313.82
02-01-2020,IN,Kolkata,no2,180,7.3,82.8,25.8,1492.56
02-01-2020,IN,Kolkata,pm25,203,82,326,187,13444
02-01-2020,IN,Kolkata,co,180,2.1,78.1,9.5,1816.65
02-01-2020,IN,Kolkata,pm10,179,61,999,142,103547
02-01-2020,IN,Kolkata,o3,180,0.5,56.1,4.8,1830.49
02-01-2020,IN,Kolkata,so2,180,2,53.7,7.5,688.84
03-01-2020,IN,Kolkata,temperature,111,16,17.9,16,1.82
03-01-2020,IN,Kolkata,wind speed,110,0,3.7,0.4,6.99
03-01-2020,IN,Kolkata,no2,191,0.6,52.1,17.7,455.01
03-01-2020,IN,Kolkata,dew,52,15,16,15,1.46
03-01-2020,IN,Kolkata,pm25,215,2,281,106,23151.6
03-01-2020,IN,Kolkata,pressure,107,1011.1,1017.5,1013.5,25.24
03-01-2020,IN,Kolkata,co,188,0.5,60.2,4.6,996.84
03-01-2020,IN,Kolkata,pm10,191,1,265,54,17335.5
03-01-2020,IN,Kolkata,o3,191,0.8,103.8,5,1112.41
03-01-2020,IN,Kolkata,so2,189,1.5,54.6,4,339.16
03-01-2020,IN,Kolkata,humidity,115,79,99.1,98.4,146.22
03-01-2020,IN,Kolkata,wind-speed,110,0,3.7,0.4,6.99
04-01-2020,IN,Kolkata,temperature,216,12.1,19.1,16.1,15.26
04-01-2020,IN,Kolkata,wind speed,203,0,2.9,0.2,5.17
04-01-2020,IN,Kolkata,no2,192,0.3,74.7,19.8,1047.52
04-01-2020,IN,Kolkata,dew,153,14,17,15,13.7
04-01-2020,IN,Kolkata,pm25,216,10,433,134,33814.3
04-01-2020,IN,Kolkata,pressure,215,1009.5,1017.5,1012.1,29.9
04-01-2020,IN,Kolkata,co,192,2.8,60.2,6.5,1787.23
04-01-2020,IN,Kolkata,pm10,191,13,999,67,140395
04-01-2020,IN,Kolkata,o3,192,0.5,31.2,3.1,188.63
